Agency,State,Months,Population,Violent crime total,Murder and nonnegligent Manslaughter,Forcible rape,Robbery,Aggravated assault,Property crime total,Burglary,Larceny-theft,Motor vehicle theft,Violent Crime rate,Murder and nonnegligent manslaughter rate,Forcible rape rate,Robbery rate,Aggravated assault rate,Property crime rate,Burglary rate,Larceny-theft rate,Motor vehicle theft rate,name,full_name,gid
Livingston County Sheriff Office,NY,12,,24.0,0,6.0,0,18,508.0,100,402.0,6.0,,,,,,,,,,livingston county,"livingston county,NY",05000US36051
Madison County Sheriff Office,NY,12,,14.0,0,2.0,1,11,257.0,85,165.0,7.0,,,,,,,,,,madison county,"madison county,NY",05000US36053
Montgomery County Sheriff Department,NY,12,,19.0,0,4.0,3,12,402.0,46,351.0,5.0,,,,,,,,,,montgomery county,"montgomery county,NY",05000US36057
New York City Police Dept,NY,12,8289415.0,52993.0,419,1162.0,20201,31211,142760.0,18635,115935.0,8190.0,639.3,5.1,14.0,243.7,376.5,1722.2,224.8,1398.6,98.8,new york city,"new york city,NY",16000US3651000
Niagara County Sheriff Department,NY,12,,52.0,0,10.0,5,37,1056.0,306,711.0,39.0,,,,,,,,,,niagara county,"niagara county,NY",05000US36063
Oneida County Sheriff Department,NY,12,,34.0,0,3.0,7,24,484.0,141,334.0,9.0,,,,,,,,,,oneida county,"oneida county,NY",05000US36065
Onondaga County Sheriff Department,NY,12,,194.0,1,16.0,39,138,2481.0,550,1836.0,95.0,,,,,,,,,,onondaga county,"onondaga county,NY",05000US36067
Ontario County Sheriff Office,NY,12,,68.0,1,15.0,10,42,1148.0,264,869.0,15.0,,,,,,,,,,ontario county,"ontario county,NY",05000US36069
Orange County Sheriff Office,NY,11,,6.0,0,0.0,0,6,17.0,2,12.0,3.0,,,,,,,,,,orange county,"orange county,NY",05000US36071
Orleans County Sheriff Department,NY,12,,23.0,0,1.0,3,19,285.0,76,200.0,9.0,,,,,,,,,,orleans county,"orleans county,NY",05000US36073
Ossining Village Police Dept,NY,12,25366.0,41.0,0,0.0,18,23,314.0,74,227.0,13.0,161.6,0.0,0.0,71.0,90.7,1237.9,291.7,894.9,51.2,ossining village,"ossining village,NY",16000US3655530
Otsego County Sheriff Department,NY,12,,27.0,0,1.0,0,26,116.0,41,67.0,8.0,,,,,,,,,,otsego county,"otsego county,NY",05000US36077
Poughkeepsie City Police Dept,NY,12,32967.0,342.0,3,12.0,87,240,986.0,247,690.0,49.0,1037.4,9.1,36.4,263.9,728.0,2990.9,749.2,2093.0,148.6,poughkeepsie city,"poughkeepsie city,NY",16000US3659641
