,cost_exists,age_exists,cup_exists,county_fips,place_fips,state_fips,place,url,state,bls_code,b01001001,b01001a001,b01001b001,b15002003,b15002004,b15002005,b15002006,b15002007,b15002008,b15002009,b15002010,b15002011,b15002012,b15002013,b15002014,b15002015,b15002016,b15002017,b15002018,b19013001,gid,place,region,counts,completeness,completeness_std,Cup_mean mean,Cup_mean std,Cost_hour_mean mean,Cost_hour_mean std,Age_mean mean,Age_mean std
bigisland,0.016574585635359115,0.0055248618784530384,0.022099447513812154,,,15.0,Big Island,bigisland,hawaii,,1378239.0,341913.0,23803.0,4378.0,2368.0,5761.0,4972.0,4038.0,6034.0,7345.0,7133.0,136884.0,23960.0,83183.0,44801.0,86771.0,27202.0,11941.0,6673.0,65087.0,04000US15,bigisland,bigisland,181.0,0.04419889502762431,0.2061068875847757,-0.8839779005524862,0.7977869943774404,320.0,173.20508075688772,-0.8784530386740331,1.6352471217437659
billings,,,,,6550.0,30.0,Billings,billings,montana,LAUCT300655000000003,105648.0,94681.0,,143.0,43.0,96.0,437.0,365.0,391.0,439.0,601.0,10419.0,2323.0,5850.0,2275.0,7672.0,1833.0,1037.0,493.0,46655.0,16000US3006550,billings,billings,,,,,,,,,
biloxi,0.07881773399014778,0.016748768472906402,0.04827586206896552,,6220.0,28.0,Biloxi,biloxi,mississippi,LAUCT280622000000003,44288.0,31472.0,8265.0,45.0,110.0,603.0,190.0,245.0,234.0,456.0,158.0,3717.0,1177.0,2148.0,1646.0,2151.0,824.0,249.0,208.0,37826.0,16000US2806220,biloxi,biloxi,1015.0,0.1438423645320197,0.3755325144466618,-0.7,1.3550620996417846,296.4833333333375,922.9507671829185,-0.42561576354679803,4.548894352751324
binghamton,0.09808102345415778,0.0255863539445629,0.09168443496801706,,6607.0,36.0,Binghamton,binghamton,new york,LAUCT360660700000003,46917.0,36753.0,5404.0,140.0,31.0,179.0,365.0,200.0,435.0,425.0,262.0,4705.0,883.0,1608.0,1395.0,1939.0,925.0,293.0,414.0,31098.0,16000US3606607,binghamton,binghamton,469.0,0.21535181236673773,0.5255226680948571,-0.47761194029850745,1.6838948830889124,691.4722222222174,1502.2531296472587,-0.2025586353944563,5.129884982640734
birmingham,0.099146110056926,0.030834914611005692,0.0967741935483871,,7000.0,1.0,Birmingham,birmingham,alabama,LAUCT010700000000003,211827.0,47737.0,157915.0,460.0,468.0,445.0,973.0,1926.0,2319.0,3455.0,1521.0,19572.0,2763.0,11977.0,3746.0,7533.0,2968.0,1514.0,821.0,30276.0,16000US0107000,birmingham,birmingham,2108.0,0.22675521821631878,0.47809690645946745,-0.41476913345983396,1.8454952014472508,248.9895002658277,440.0654985125903,-0.14065464895635674,4.9496537824387925
bismarck,0.07981220657276995,0.02112676056338028,0.12910798122065728,,7200.0,38.0,Bismarck,bismarck,north dakota,LAUCT380720000000003,63075.0,58338.0,,105.0,0.0,40.0,621.0,54.0,236.0,217.0,119.0,5467.0,1481.0,2592.0,3071.0,3995.0,1546.0,516.0,415.0,54099.0,16000US3807200,bismarck,bismarck,852.0,0.2300469483568075,0.4810275894988422,-0.29577464788732394,1.875522579344617,468.0441176470442,859.8718186212853,-0.5046948356807511,3.386393805953167
blacksburg,0.10697674418604651,0.027906976744186046,0.03255813953488372,,,51.0,New River Valley,blacksburg,virginia,,8105120.0,5620645.0,1573482.0,30168.0,15714.0,34421.0,65599.0,45169.0,63038.0,62317.0,37826.0,673451.0,143268.0,360186.0,154918.0,515794.0,280442.0,76910.0,52574.0,62811.0,04000US51,blacksburg,blacksburg,215.0,0.16744186046511628,0.43218685937576035,-0.8093023255813954,1.0703772488712138,183.58695652173913,81.15230520642162,-0.22790697674418606,4.684350840302694
bloomington,0.11212814645308924,0.020594965675057208,0.10755148741418764,,6613.0,17.0,Bloomington,bloomington,illinois,LAUCT170661300000003,77196.0,59809.0,8850.0,65.0,0.0,100.0,259.0,176.0,232.0,358.0,266.0,4588.0,1343.0,3814.0,1569.0,7661.0,2470.0,500.0,339.0,60319.0,16000US1706613,bloomington,bloomington,437.0,0.2402745995423341,0.5017656143674991,-0.37299771167048057,1.8359942017093485,356.21598639436735,475.8437151999026,-0.38443935926773454,4.492964476620315
bloomingtonin,0.11855670103092783,0.007731958762886598,0.030927835051546393,,5860.0,18.0,Bloomington,bloomingtonin,indiana,LAUCT180586000000003,80127.0,65898.0,,83.0,5.0,53.0,231.0,300.0,303.0,191.0,134.0,2428.0,750.0,2569.0,823.0,4765.0,2892.0,386.0,2029.0,26925.0,16000US1805860,bloomingtonin,bloomingtonin,388.0,0.15721649484536082,0.39834863846057356,-0.8530927835051546,0.8393215678221032,167.97101449276087,65.16447665495093,-0.7396907216494846,3.090666437121089
boise,,,,15.0,,16.0,Boise,boise,idaho,,,,,,,,,,,,,,,,,,,,,,,,boise,,,,,,,,,
